CaseID,ActivityID,CompleteTimestamp,PreActivityID
2,6,2012-04-05 17:15:52,8
3,6,2010-11-04 01:21:17,8
4,6,2010-12-16 17:08:19,8
5,6,2012-04-03 21:47:22,8
5,6,2012-04-04 00:07:28,8
6,6,2011-10-26 17:54:46,8
8,6,2012-07-05 17:44:46,8
9,6,2010-05-25 23:35:44,8
10,6,2010-03-19 17:47:13,8
11,6,2011-12-22 18:55:43,8
14,6,2011-07-05 21:52:37,8
16,6,2012-02-23 18:47:38,8
17,6,2011-11-09 22:31:37,8
19,6,2010-07-09 18:11:18,8
21,6,2011-01-27 19:19:15,8
22,6,2012-08-27 18:05:23,9
24,6,2010-06-08 22:46:16,8
25,6,2010-12-31 00:16:35,8
26,6,2011-03-31 19:00:41,8
27,6,2011-12-12 18:04:47,8
29,6,2012-07-30 20:29:40,8
30,6,2011-02-10 18:01:20,8
32,6,2011-04-28 16:18:08,8
35,6,2012-01-18 18:46:37,1
36,6,2011-07-05 15:32:43,8
37,6,2011-02-11 00:20:02,8
37,6,2011-03-02 22:23:58,6
37,6,2011-03-04 18:37:55,8
38,6,2012-03-20 17:18:56,8
40,6,2012-08-09 20:46:00,8
41,6,2010-12-14 19:45:12,8
42,6,2011-06-16 21:39:51,8
43,6,2012-04-10 18:53:28,8
44,6,2010-11-30 01:20:51,8
45,6,2012-03-02 19:40:59,8
47,6,2011-05-30 23:04:34,8
48,6,2010-12-02 23:08:33,8
49,6,2011-12-03 01:25:57,9
50,6,2012-01-17 01:37:54,8
50,6,2012-01-17 01:37:55,6
51,6,2012-07-02 17:41:04,9
52,6,2012-07-27 18:46:28,8
53,6,2010-11-04 17:48:12,8
55,6,2011-11-21 17:21:23,9
56,6,2012-01-30 20:33:23,1
57,6,2010-11-03 00:39:05,8
59,6,2012-03-28 23:32:57,8
59,6,2012-03-28 23:32:57,6
60,6,2011-04-13 16:49:22,8
61,6,2011-09-16 23:04:46,8
62,6,2012-05-28 23:18:27,1
64,6,2011-05-06 17:42:28,8
66,6,2012-06-26 21:05:58,8
67,6,2011-01-13 20:45:18,8
68,6,2012-04-12 18:31:37,8
70,6,2011-07-12 15:00:36,9
71,6,2011-11-02 18:49:41,8
72,6,2011-02-14 20:48:42,8
73,6,2012-07-31 19:02:02,1
74,6,2012-02-10 20:42:26,0
75,6,2010-04-23 15:45:04,8
76,6,2012-01-11 00:58:08,1
78,6,2011-12-06 01:33:12,8
80,6,2012-08-10 18:13:48,8
81,6,2010-02-19 17:32:00,8
84,6,2010-12-10 18:16:34,8
85,6,2011-03-04 19:02:13,8
86,6,2012-06-18 17:42:02,9
87,6,2011-11-25 18:30:07,9
87,6,2011-12-07 22:41:18,9
88,6,2010-10-04 18:49:08,8
90,6,2010-03-17 18:49:51,8
91,6,2011-05-24 21:36:11,8
92,6,2010-03-18 18:27:56,8
93,6,2012-08-02 23:14:07,8
94,6,2012-02-08 17:34:34,8
95,6,2011-09-30 17:09:23,8
96,6,2012-02-29 17:25:13,8
96,6,2012-02-29 17:25:14,6
98,6,2012-07-09 21:21:24,8
99,6,2011-05-16 16:33:29,8
101,6,2010-06-29 16:33:07,8
102,6,2012-01-31 17:12:06,8
103,6,2010-06-16 17:23:07,2
104,6,2011-01-27 18:34:24,8
108,6,2011-01-26 17:12:39,8
109,6,2010-11-08 18:33:57,8
110,6,2010-12-17 00:52:50,8
111,6,2010-06-30 16:05:04,8
111,6,2010-07-02 22:08:52,8
112,6,2011-10-14 22:44:32,8
113,6,2010-05-25 22:11:28,8
116,6,2011-04-08 21:07:10,8
117,6,2012-07-20 22:44:15,8
118,6,2011-03-07 22:14:21,8
119,6,2011-12-13 18:22:04,8
120,6,2012-05-08 22:04:27,9
121,6,2011-02-09 23:21:46,8
122,6,2011-02-15 20:52:47,8
