CaseID,ActivityID,CompleteTimestamp,PreActivityID
9,3,2010-05-07 21:02:21,0
48,3,2010-12-01 22:42:59,0
101,3,2010-06-18 21:47:15,0
113,3,2010-05-06 23:51:48,0
130,3,2010-04-08 16:58:03,0
150,3,2011-05-18 16:39:41,0
183,3,2010-05-19 23:08:49,0
247,3,2012-08-10 14:59:37,0
268,3,2010-07-23 16:22:58,0
271,3,2010-03-08 20:43:25,0
276,3,2010-03-30 23:58:20,0
413,3,2011-09-21 17:45:40,0
423,3,2010-09-15 22:38:51,0
591,3,2010-05-05 20:56:02,0
599,3,2010-03-05 01:49:18,0
612,3,2010-04-28 15:59:40,0
661,3,2010-09-17 17:48:33,0
713,3,2010-10-18 20:21:06,0
751,3,2011-06-24 23:24:10,0
771,3,2010-09-04 00:00:06,0
808,3,2010-04-07 23:30:47,0
833,3,2010-09-15 15:20:34,0
846,3,2010-03-08 20:52:47,0
903,3,2010-11-11 02:05:25,0
971,3,2010-06-30 16:22:51,0
1011,3,2011-09-06 23:37:27,0
1080,3,2010-06-09 18:33:30,0
1282,3,2010-07-01 20:14:34,0
1284,3,2010-05-27 22:14:04,0
1351,3,2010-06-10 15:24:28,0
1365,3,2012-02-27 17:10:47,0
1369,3,2011-08-10 17:57:40,0
1402,3,2010-05-27 20:57:34,0
1492,3,2011-06-24 18:03:50,0
1676,3,2010-08-11 17:54:54,0
1714,3,2010-04-23 18:20:28,0
1728,3,2010-09-02 17:32:24,0
1759,3,2010-09-20 19:10:02,0
1770,3,2010-03-26 19:20:10,0
1774,3,2010-06-15 17:45:10,0
1855,3,2011-10-12 17:06:49,0
1965,3,2012-01-09 20:15:51,0
1973,3,2010-06-03 22:42:45,0
2053,3,2010-06-21 17:29:12,0
2055,3,2011-09-20 23:20:45,0
2072,3,2010-03-24 00:08:00,0
2106,3,2010-03-26 22:30:45,0
2137,3,2011-02-14 23:15:24,0
2153,3,2010-07-14 15:27:40,0
2159,3,2010-09-07 17:00:29,0
2249,3,2010-04-29 23:26:12,0
2259,3,2012-07-25 22:47:20,0
2297,3,2010-03-10 17:29:54,0
2389,3,2010-06-22 17:02:02,0
2418,3,2010-05-12 23:25:04,0
2445,3,2010-09-22 18:13:00,0
2464,3,2010-08-03 00:27:30,0
2544,3,2010-05-27 16:44:11,0
2562,3,2010-05-27 23:37:37,0
2590,3,2010-06-11 16:49:09,0
2650,3,2010-09-17 22:42:28,0
2745,3,2010-04-07 16:55:57,0
2805,3,2010-09-29 21:12:11,0
2806,3,2010-10-26 23:40:41,0
2818,3,2011-08-30 16:59:35,0
2819,3,2010-08-09 16:34:51,0
2845,3,2010-05-12 18:47:22,0
2909,3,2010-05-27 16:48:22,0
2928,3,2010-12-02 01:56:39,0
2955,3,2011-08-30 21:20:01,0
3031,3,2010-09-16 15:47:02,0
3079,3,2010-08-26 22:58:38,0
3150,3,2010-04-07 23:58:49,0
3196,3,2010-05-12 18:21:25,0
3244,3,2010-04-22 21:32:29,0
3451,3,2011-03-30 22:27:22,0
3459,3,2010-04-09 22:45:30,0
3481,3,2011-01-25 22:33:04,0
3541,3,2010-05-31 23:57:02,0
3553,3,2010-07-01 18:33:03,0
3557,3,2011-09-05 17:13:15,0
3606,3,2011-08-08 21:32:09,0
3611,3,2011-01-30 00:17:27,0
3615,3,2010-05-17 22:11:52,0
3621,3,2010-11-10 22:08:58,0
3856,3,2010-09-03 17:11:07,0
3883,3,2010-03-17 18:03:18,0
3886,3,2010-04-30 14:53:24,0
3901,3,2011-02-14 23:16:18,0
3940,3,2010-10-05 17:49:32,0
3978,3,2010-04-29 23:19:12,0
4018,3,2011-10-27 22:55:23,0
4047,3,2010-11-09 00:58:27,0
4075,3,2010-07-27 17:41:44,0
4077,3,2010-03-15 19:35:48,0
4128,3,2010-10-18 15:41:00,0
4130,3,2010-09-24 16:16:06,0
4143,3,2010-04-12 20:55:33,0
4178,3,2011-08-10 20:19:41,0
4207,3,2010-02-19 22:43:46,0
4243,3,2010-05-04 21:58:19,0
4266,3,2012-06-13 16:41:48,0
4285,3,2010-05-19 21:14:32,0
4375,3,2010-05-06 23:48:29,0
4412,3,2010-04-07 23:18:14,0
4496,3,2010-03-31 15:46:16,0
4507,3,2010-03-29 20:50:18,0
4565,3,2011-07-13 17:48:50,0
