CaseID,ActivityID,CompleteTimestamp,PreActivityID
22,9,2012-07-23 16:51:59,8
26,9,2011-03-31 16:39:41,8
37,9,2011-03-03 00:27:52,8
49,9,2011-11-29 23:47:35,8
51,9,2012-06-15 15:16:27,8
53,9,2010-10-28 23:12:55,8
53,9,2010-10-28 23:12:55,9
55,9,2011-11-07 17:44:52,8
60,9,2011-04-07 23:41:23,8
64,9,2011-04-15 18:41:19,1
64,9,2011-04-27 18:30:13,8
70,9,2011-07-08 16:44:58,8
81,9,2010-02-09 17:35:26,8
81,9,2010-02-09 17:36:27,9
86,9,2012-06-15 18:00:52,8
87,9,2011-11-18 01:59:03,8
87,9,2011-11-28 22:59:00,8
88,9,2010-09-24 21:44:52,1
103,9,2010-06-08 18:37:29,8
109,9,2010-09-28 16:31:41,8
111,9,2010-07-01 17:00:03,8
120,9,2012-05-08 20:31:30,8
123,9,2011-05-06 20:55:50,8
125,9,2010-08-19 18:07:15,8
132,9,2012-06-21 22:32:08,8
135,9,2011-02-10 17:27:30,8
137,9,2011-08-12 21:42:55,8
141,9,2011-01-12 19:50:26,8
141,9,2011-01-12 20:34:34,8
150,9,2011-05-23 23:20:54,8
155,9,2010-12-24 00:26:07,8
167,9,2011-11-25 23:01:18,8
170,9,2012-05-03 16:01:21,8
170,9,2012-05-17 15:47:13,8
174,9,2011-11-05 01:24:35,8
185,9,2010-11-03 23:06:51,8
186,9,2012-07-13 21:48:10,8
195,9,2010-09-27 18:09:43,8
195,9,2010-09-29 16:04:55,8
205,9,2010-12-20 23:24:30,8
206,9,2011-03-04 20:32:51,8
218,9,2011-03-31 23:35:15,8
219,9,2011-11-11 19:52:25,8
220,9,2011-08-04 17:47:48,8
224,9,2012-05-28 22:41:06,8
258,9,2010-12-02 19:16:35,8
270,9,2011-04-01 17:42:02,8
270,9,2011-04-01 18:40:01,9
272,9,2012-02-01 20:28:32,8
278,9,2010-05-25 23:38:49,1
278,9,2010-06-16 16:47:04,8
280,9,2010-11-26 00:56:39,8
290,9,2012-02-15 18:20:13,1
301,9,2010-05-07 00:06:08,8
305,9,2012-05-07 18:36:28,8
310,9,2011-07-01 23:15:06,8
315,9,2010-11-19 00:11:59,8
319,9,2011-01-19 00:40:19,8
321,9,2010-07-02 00:55:02,8
322,9,2010-11-26 19:27:40,8
334,9,2011-05-02 16:10:10,8
339,9,2012-05-15 23:07:03,8
340,9,2012-03-14 19:55:59,8
350,9,2012-02-02 18:12:36,8
354,9,2011-08-03 23:11:53,1
362,9,2012-03-14 02:53:46,8
365,9,2010-12-29 19:49:51,8
368,9,2011-06-23 16:18:51,8
368,9,2011-06-23 16:18:54,9
376,9,2010-05-05 18:35:24,8
386,9,2011-05-13 21:22:57,8
388,9,2010-07-14 16:52:39,1
398,9,2012-02-01 20:39:56,8
417,9,2012-04-06 15:21:38,8
419,9,2010-07-02 21:39:52,8
425,9,2012-04-17 15:40:48,8
426,9,2011-03-15 23:41:01,8
426,9,2011-03-19 00:45:55,9
437,9,2011-11-16 19:55:17,8
448,9,2012-06-26 21:36:43,8
449,9,2011-03-09 20:53:22,8
455,9,2010-07-14 22:04:12,8
461,9,2012-03-30 15:52:33,8
468,9,2011-02-08 23:55:03,8
469,9,2010-05-03 19:29:31,8
471,9,2011-05-27 22:02:35,8
476,9,2011-04-01 22:42:38,8
478,9,2012-09-27 15:37:43,8
491,9,2012-04-20 18:41:40,8
508,9,2012-02-24 18:44:16,8
509,9,2010-09-27 21:41:58,8
509,9,2010-09-28 16:49:02,9
510,9,2012-07-23 20:56:58,8
512,9,2011-10-13 22:29:37,8
516,9,2011-09-05 20:35:10,8
517,9,2011-03-10 00:28:22,8
522,9,2011-12-05 17:32:43,8
526,9,2012-03-08 23:18:54,8
537,9,2012-06-01 20:43:57,8
547,9,2010-06-30 21:19:19,1
547,9,2010-07-14 16:07:06,8
548,9,2011-05-20 18:47:49,8
551,9,2012-07-25 15:59:53,8
565,9,2012-07-17 21:16:36,8
571,9,2011-06-09 17:37:51,8
572,9,2010-05-28 22:24:24,1
572,9,2010-05-29 00:21:51,8
573,9,2012-07-30 16:48:00,8
581,9,2012-06-26 18:08:06,8
582,9,2010-12-16 19:49:48,8
584,9,2011-03-10 20:16:12,8
584,9,2011-03-18 22:47:25,8
587,9,2010-04-29 17:38:26,8
602,9,2012-05-09 22:23:42,8
607,9,2011-06-16 23:20:04,8
608,9,2010-12-29 01:43:35,8
620,9,2011-12-28 00:02:37,8
623,9,2011-11-22 18:56:15,8
628,9,2011-02-16 23:45:12,8
636,9,2011-03-31 15:19:40,8
636,9,2011-03-31 15:20:00,9
646,9,2011-03-22 23:12:53,8
651,9,2010-04-09 23:48:44,1
660,9,2012-02-01 20:15:21,8
666,9,2011-12-20 01:59:36,8
672,9,2011-02-04 22:41:14,8
674,9,2012-01-23 22:42:27,8
675,9,2011-05-13 21:38:00,8
677,9,2011-12-23 20:37:08,1
678,9,2011-06-21 18:25:39,8
